two_digit,postalCity
57,Aneby/ Äng/ Anneberg/ Berga/ Björköby/ Bockara/ Bodafors/ Bruzaholm/ Ekenässjön/ Eksjö/ Fågelfors/ Fagerhult/ Fårbo/ Figeholm/ Flisby/ Forserum/ Fredriksdal/ Frinnaryd/ Grimstorp/ Grönskåra/ Hjältevad/ Högsby/ Holsbybrunn/ Hult/ Hultsfred/ Ingatorp/ Järnforsen/ Korsberga/ Kristdala/ Kvillsfors/ Landsbro/ Lönneberga/ Målilla/ Malmbäck/ Mörlunda/ Myresjö/ Nässjö/ Nye/ Ormaryd/ Oskarshamn/ Påskallavik/ Pauliström/ Ramkvilla/ Rörvik/ Rosenfors/ Ruda/ Sandsjöfors/ Sävsjö/ Silverdalen/ Solberga/ Sommen/ Stensjön/ Stockaryd/ Sunhultsbrunn/ Tranås/ Vena/ Vetlanda/ Virserum/ Vrigstad/ Ydre
58,Bestorp/ Gammalkil/ Linghem/ Linköping/ Ljungsbro/ Nykil/ Sturefors/ Vikingstad/ Vreta Kloster
59,Ankarsrum/ Åtvidaberg/ Blackstad/ Blankaholm/ Borensberg/ Borghamn/ Boxholm/ Brokind/ Edsbruk/ Fornåsa/ Gamleby/ Gullringen/ Gunnebo/ Hjorted/ Horn/ Kisa/ Klockrike/ Loftahammar/ Mantorp/ Mariannelund/ Mjölby/ Motala/ Odensvi/ Ödeshög/ Överum/ Rimforsa/ Skänninge/ Södra Vi/ Storebro/ Tjällmo/ Totebo/ Ulrika/ Väderstad/ Vadstena/ Västervik/ Vimmerby
60,Norrköping/ Svärtinge
61,Åby/ Ålberga/ Enstaberga/ Finspång/ Gryt/ Grytgöl/ Gusum/ Hällestad/ Jönåker/ Kimstad/ Kolmården/ Ljusfallshammar/ Lotorp/ Nävekvarn/ Norsholm/ Nyköping/ Östra Ryd/ Oxelösund/ Rejmyre/ Ringarum/ Sankt Anna/ Skärblacka/ Söderköping/ Stavsjö/ Stigtomta/ Trosa/ Tystberga/ Vagnhärad/ Valdemarsvik/ Västerljung/ Vikbolandet/ Vrena
62,Burgsvik/ Dalhem/ Fårö/ Fårösund/ Gotlands Tofta/ Havdhem/ Hemse/ Katthammarsvik/ Klintehamn/ Lärbro/ Ljugarn/ Romakloster/ Slite/ Stånga/ Tingstäde/ Visby
63,Ärla/ Eskilstuna/ Hållsta/ Husby-Rekarne/ Kvicksund/ Näshulta/ Skogstorp/ Stora Sundby
64,Åkers Styckebruk/ Bettna/ Björkvik/ Björnlunda/ Flen/ Gnesta/ Hälleforsnäs/ Högsjö/ Julita/ Katrineholm/ Malmköping/ Mariefred/ Mellösa/ Sköldinge/ Sparreholm/ Stallarholmen/ Stjärnhov/ Strängnäs/ Torshälla/ Valla/ Västra Näshulta/ Vingåker
65,Karlstad/ Molkom/ Skattkärr/ Väse
66,Åmål/ Ånimskog/ Bäckefors/ Bengtsfors/ Billingsfors/ Borgvik/ Dals Långed/ Deje/ Ed/ Edsvalla/ Fagerås/ Fengersfors/ Forshaga/ Grums/ Gustavsfors/ Hammarö/ Kil/ Långserud/ Ödskölt/ Säffle/ Segmon/ Skåpafors/ Skoghall/ Slottsbron/ Svanskog/ Tösse/ Vålberg/ Värmlands Nysäter/ Värmskog
67,Åmotfors/ Årjäng/ Arvika/ Brunskog/ Charlottenberg/ Edane/ Glava/ Gunnarskog/ Klässbol/ Koppom/ Mangskog/ Morokulien/ Skillingsfors/ Töcksfors
68,Ambjörby/ Björneborg/ Bograngen/ Ekshärad/ Filipstad/ Gräsmark/ Hagfors/ Höje/ Höljes/ Kristinehamn/ Lakene/ Lesjöfors/ Likenäs/ Lysvik/ Munkfors/ Nordmarkshyttan/ Nykroppa/ Östmark/ Östra Ämtervik/ Råda/ Ransäter/ Rottneros/ Stöllet/ Storfors/ Sunne/ Sunnemo/ Sysslebäck/ Torsby/ Uddeholm/ Västra Ämtervik
69,Åmmeberg/ Åsbro/ Askersund/ Aspabruk/ Åtorp/ Degerfors/ Finnerödja/ Granbergsdal/ Hallsberg/ Hammar/ Hasselfors/ Hjortkvarn/ Karlskoga/ Kumla/ Laxå/ Mariedamm/ Närkesberg/ Östansjö/ Pålsboda/ Röfors/ Rönneshytta/ Sköllersta/ Skyllberg/ Svartå/ Tived/ Vretstorp/ Zinkgruvan
70,Glanshammar/ Lillkyrka/ Örebro
71,Brevens Bruk/ Dyltabruk/ Ervalla/ Fjugesta/ Frövi/ Garphyttan/ Grythyttan/ Guldsmedshyttan/ Gusselby/ Gyttorp/ Hällefors/ Kilsmo/ Kopparberg/ Lindesberg/ Mullhyttan/ Nora/ Odensbacken/ Ramsberg/ Ställdalen/ Storå/ Stora Mellösa/ Stråssa/ Vedevåg/ Vintrosa
72,Skultuna/ Västerås
73,Ängelsberg/ Arboga/ Fagersta/ Fellingsbro/ Hallstahammar/ Kolbäck/ Kolsva/ Köping/ Kungsör/ Möklinta/ Norberg/ Ramnäs/ Ransta/ Riddarhyttan/ Sala/ Salbohed/ Skinnskatteberg/ Strömsholm/ Surahammar/ Valskog/ Västerfärnebo/ Virsbo
74,Almunge/ Alunda/ Bälinge/ Bålsta/ Björklinge/ Ekolsund/ Enköping/ Fjärdhundra/ Gimo/ Gräsö/ Grillby/ Häggeby/ Harbo/ Hargshamn/ Heby/ Huddungeby/ Järlåsa/ Knivsta/ Knutby/ Länna/ Morgongåva/ Örbyhus/ Öregrund/ Örsundsbro/ Österbybruk/ Östervåla/ Östhammar/ Runhällen/ Skokloster/ Skyttorp/ Storvreta/ Tärnsjö/ Tobo/ Vänge/ Vattholma/ Vittinge
75,Uppsala
76,Arholma/ Bergshamra/ Björkö/ Blidö/ Edsbro/ Furusund/ Gräddö/ Grisslehamn/ Hallstavik/ Herräng/ Norrtälje/ Rånäs/ Riala/ Rimbo/ Rö/ Skebobruk/ Tjockö/ Väddö/ Vätö/ Yxlan
77,Avesta/ By Kyrkby/ Dala-Husby/ Folkärna/ Fors/ Fredriksberg/ Garpenberg/ Grangärde/ Grängesberg/ Hedemora/ Horndal/ Krylbo/ Långshyttan/ Ludvika/ Nyhammar/ Saxdalen/ Smedjebacken/ Söderbärke/ Stjärnsund/ Sunnansjö/ Vikmanshyttan
78,Äppelbo/ Björbo/ Borlänge/ Dala-Floda/ Dala-Järna/ Djurås/ Djurmo/ Gagnef/ Gustafs/ Idkerberget/ Lima/ Malung/ Malungsfors/ Mockfjärd/ Nås/ Öje/ Rörbäcksnäs/ Sälen/ Säter/ Sifferbo/ Sörsjön/ Stora Skedvi/ Transtrand/ Vansbro
79,Älvdalen/ Bjursås/ Boda Kyrkby/ Djura/ Enviken/ Falun/ Färnäs/ Furudal/ Garsås/ Grycksbo/ Idre/ Insjön/ Leksand/ Linghed/ Mora/ Nusnäs/ Orsa/ Rättvik/ Sågmyra/ Särna/ Siljansnäs/ Skattungbyn/ Sollerön/ Sundborn/ Svärdsjö/ Tällberg/ Toftbyn/ Våmhus/ Venjan/ Vikarbyn
80,Gävle
81,Älvkarleby/ Åmotsbruk/ Årsunda/ Åshammar/ Axmar/ Bergby/ Forsbacka/ Furuvik/ Gästrike-Hammarby/ Gysinge/ Hållnäs/ Hamrångefjärden/ Hedesunda/ Hofors/ Jädraås/ Järbo/ Karlholmsbruk/ Kungsgården/ Lingbo/ Lövstabruk/ Månkarbo/ Norrsundet/ Ockelbo/ Österfärnebo/ Sandviken/ Skärplinge/ Skutskär/ Söderfors/ Storvik/ Strömsbergs Bruk/ Tierp/ Torsåker/ Valbo
82,Alfta/ Arbrå/ Bergsjö/ Bergvik/ Bjuråker/ Bollnäs/ Delsbo/ Edsbyn/ Enånger/ Färila/ Forsa/ Gnarp/ Hamra/ Harmånger/ Hassela/ Holmsveden/ Hudiksvall/ Iggesund/ Ilsbo/ Järvsö/ Jättendal/ Kårböle/ Kilafors/ Korskrogen/ Ljusdal/ Ljusne/ Los/ Marmaverken/ Näsviken/ Njutånger/ Norrala/ Ramsjö/ Rengsjö/ Sandarne/ Segersta/ Söderala/ Söderhamn/ Stocka/ Stråtjära/ Strömsbruk/ Tallåsen/ Trönödal/ Vallsta/ Vallvik/ Viksjöfors/ Voxnabruk
83,Alsen/ Åre/ Ås/ Aspås/ Brunflo/ Duved/ Dvärsätt/ Föllinge/ Frösön/ Gäddede/ Häggenås/ Hammerdal/ Hoting/ Järpen/ Krokom/ Lidsjöberg/ Lit/ Mattmar/ Mörsil/ Munkflohögen/ Nälden/ Norråker/ Offerdal/ Orrviken/ Östersund/ Stora Blåsjön/ Storlien/ Strömsund/ Tandsbyn/ Trångsviken/ Undersåker/ Vålådalen/ Valsjöbyn
84,Alby/ Ånge/ Åsarna/ Bispgården/ Bräcke/ Bruksvallarna/ Erikslund/ Fåker/ Fränsta/ Funäsdalen/ Gällö/ Hackås/ Hallen/ Hammarstrand/ Hede/ Kälarne/ Klövsjö/ Lillhärdal/ Ljungaverk/ Ljungdalen/ Ljusnedal/ Lofsdalen/ Östavall/ Överturingen/ Oviken/ Pilgrimstad/ Rätan/ Sörbygden/ Storsjö Kapell/ Stugun/ Sveg/ Svenstavik/ Tännäs/ Tänndalen/ Torpshammar/ Vemdalen/ Vemhån/ Ytterhogdal
85,Indal/ Kovland/ Liden/ Sundsvall
86,Alnö/ Ankarsvik/ Bergeforsen/ Fagervik/ Kvissleby/ Ljustorp/ Matfors/ Njurunda/ Söråker/ Sörberge/ Stöde/ Sundsbruk/ Sundsvall/ Timrå
87,Älandsbro/ Bjärtrå/ Bollstabruk/ Docksta/ Härnösand/ Hemsön/ Kramfors/ Lugnvik/ Lunde/ Mjällom/ Noraström/ Nordingrå/ Nyland/ Ramvik/ Sandöverken/ Skog/ Ullånger/ Utansjö/ Väja/ Viksjö
88,Backe/ Edsele/ Graninge/ Helgum/ Junsele/ Långsele/ Näsåker/ Ramsele/ Resele/ Rossön/ Sollefteå/ Undrom
89,Arnäsvall/ Bjästa/ Björna/ Bonässund/ Bredbyn/ Domsjö/ Gideå/ Husum/ Järved/ Köpmanholmen/ Långviksmon/ Mellansel/ Moliden/ Örnsköldsvik/ Överhörnäs/ Sidensjö/ Själevad/ Skorped/ Solberg/ Trehörningsjö/ Ulvöhamn
90,Hörnefors/ Röbäck/ Täfteå/ Umeå
91,Ånäset/ Åsele/ Bjurholm/ Borgafjäll/ Bullmark/ Bygdeå/ Dorotea/ Flarken/ Fredrika/ Gräsmyr/ Håknäs/ Hällaström/ Högland/ Holmön/ Holmsund/ Hörnsjö/ Klimpfjäll/ Lajksjöberg/ Långbäcken/ Latikberg/ Lavsjön/ Lögdeå/ Malgomaj/ Marsfjäll/ Nordmaling/ Norrfors/ Nyåker/ Obbola/ Örträsk/ Risbäck/ Robertsfors/ Rundvik/ Sävar/ Storseleby/ Svanavattnet/ Vännäs/ Vännäsby/ Vilhelmina
92,Ammarnäs/ Åmsele/ Barsele/ Björksele/ Blattnicksele/ Blåviksjön/ Botsmark/ Dikanäs/ Gargnäs/ Granö/ Gunnarn/ Hällnäs/ Hemavan/ Hornmyr/ Kittelfjäll/ Kristineberg/ Lycksele/ Rökå/ Rusksele/ Slussfors/ Sorsele/ Stensele/ Storuman/ Tärnaby/ Tavelsjö/ Tvärålund/ Vindelgransele/ Vindeln/ Vormsele
93,Abborrträsk/ Adak/ Arjeplog/ Arvidsjaur/ Bastuträsk/ Boliden/ Bureå/ Burträsk/ Bygdsiljum/ Byske/ Ersmark/ Fällfors/ Glommersträsk/ Jäckvik/ Jörn/ Kåge/ Kalvträsk/ Kusmark/ Laisvall/ Lövånger/ Malå/ Mellanström/ Moskosel/ Norsjö/ Örviken/ Rentjärn/ Skellefteå/ Skelleftehamn/ Slagnäs/ Ursviken
94,Altersbruk/ Älvsbyn/ Arnemark/ Blåsmark/ Hemmingsmark/ Hortlax/ Jävrebyn/ Koler/ Långträsk/ Lillpite/ Norrfjärden/ Öjebyn/ Piteå/ Roknäs/ Rosvik/ Sikfors/ Sjulsmark/ Storsund/ Svensbyn/ Vidsel/ Vistträsk
95,Båtskärsnäs/ Gammelstad/ Haparanda/ Hedenäset/ Juoksengi/ Kalix/ Kalix-Nyborg/ Karlsborgsverken/ Karungi/ Lansjärv/ Lappträsk/ Morjärv/ Niemisel/ Nikkala/ Överkalix/ Övertorneå/ Påläng/ Pello/ Råneå/ Risögrund/ Sangis/ Seskarö/ Södra Sunderbyn/ Töre/ Vitå
96,Boden/ Gunnarsbyn/ Harads/ Jokkmokk/ Kåbdalis/ Kvikkjokk/ Mårdsel/ Mattisudden/ Murjek/ Randijaur/ Snesudden/ Vuollerim
97,Luleå
98,Abisko/ Björkliden/ Gällivare/ Hakkas/ Jukkasjärvi/ Junosuando/ Kainulasjärvi/ Kangos/ Karesuando/ Kiruna/ Korpilombolo/ Koskullskulle/ Kurravaara/ Lannavaara/ Lovikka/ Malmberget/ Muodoslompolo/ Nattavaara/ Nattavaaraby/ Övre Soppero/ Pajala/ Porjus/ Puoltikasvaara/ Riksgränsen/ Skaulo/ Svappavaara/ Tärendö/ Ullatti/ Vettasjärvi/ Vittangi
